City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,ushuaia,-54.8,-68.3,11.81,66,75,8.23,AR,1675018050
1,inhambane,-23.865,35.3833,27.99,74,20,4.63,MZ,1675018421
2,rikitea,-23.1203,-134.9692,25.88,74,88,4.98,PF,1675018422
3,soyo,-6.1349,12.3689,26.71,80,100,0.68,AO,1675018422
4,bathsheba,13.2167,-59.5167,28.34,57,20,6.69,BB,1675018423
5,wajima,37.4,136.9,2.15,95,100,1.82,JP,1675018424
6,ahuimanu,21.4447,-157.8378,21.59,87,100,2.68,US,1675018424
7,bambous virieux,-20.3428,57.7575,26.23,89,40,2.06,MU,1675018425
8,longyearbyen,78.2186,15.6401,-4.09,74,75,9.77,SJ,1675018425
9,ponta do sol,32.6667,-17.1,14.35,55,60,3.07,PT,1675018426
10,dawson creek,55.7666,-120.2362,-11.2,62,40,6.69,CA,1675018426
11,upernavik,72.7868,-56.1549,-21.02,76,50,4.17,GL,1675018427
12,mareeba,-17.0,145.4333,22.47,96,95,0.8,AU,1675018427
13,makakilo city,21.3469,-158.0858,20.94,82,100,4.63,US,1675018428
14,mataura,-46.1927,168.8643,13.27,59,100,0.38,NZ,1675018429
15,mildura,-34.2,142.15,18.37,89,98,3.61,AU,1675018429
16,hithadhoo,-0.6,73.0833,27.63,74,100,4.12,MV,1675018430
17,havoysund,70.9963,24.6622,-0.87,92,100,2.23,NO,1675018430
18,oneonta,42.4529,-75.0638,7.39,69,100,5.28,US,1675018431
19,tello,3.0669,-75.1378,31.23,35,74,1.16,CO,1675018431
20,long,18.0761,99.8326,17.27,59,9,0.91,TH,1675018432
21,husavik,66.0449,-17.3389,-3.37,92,100,6.92,IS,1675018433
22,bluff,-46.6,168.3333,15.42,76,100,3.69,NZ,1675018434
23,kapaa,22.0752,-159.319,22.18,67,75,8.75,US,1675017938
24,boa vista,2.8197,-60.6733,32.99,40,40,4.63,BR,1675018206
25,kyshtovka,56.555,76.6271,-10.29,90,100,5.96,RU,1675018435
26,georgetown,5.4112,100.3354,26.96,83,20,1.54,MY,1675018436
27,castro,-24.7911,-50.0119,28.44,53,5,2.93,BR,1675018246
28,magistralnyy,56.1725,107.4458,-7.73,91,100,3.19,RU,1675018437
29,byron bay,-28.65,153.6167,23.3,79,100,3.04,AU,1675018157
30,kato korakiana,39.6897,19.8253,7.51,87,20,0.0,GR,1675018438
31,cape town,-33.9258,18.4232,22.99,51,0,8.23,ZA,1675018439
32,gat,31.61,34.7642,15.78,100,96,2.34,IL,1675018140
33,barra do corda,-5.5,-45.25,27.64,77,100,2.04,BR,1675018440
34,lere,10.387,8.5726,28.83,33,98,0.86,NG,1675018441
35,new norfolk,-42.7826,147.0587,15.72,67,73,0.58,AU,1675018442
36,labuhan,-6.8844,112.2051,25.35,88,100,2.7,ID,1675018442
37,pacific grove,36.6177,-121.9166,11.55,86,100,4.02,US,1675018443
38,bredasdorp,-34.5322,20.0403,18.99,58,100,8.21,ZA,1675018444
